timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:05:54.683, 76, 75.75 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:55.683, 75, 75.59 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:56.684, 79, 77.91 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:57.684, 75, 76.65 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:58.685, 77, 75.66 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:59.685, 73, 76.00 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:00.686, 78, 77.53 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:01.686, 79, 78.32 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:02.686, 73, 76.74 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:03.687, 73, 76.03 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:04.687, 78, 75.61 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:05.688, 76, 79.66 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:06.688, 76, 78.32 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:07.689, 76, 75.71 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:08.689, 76, 77.04 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:09.690, 81, 77.42 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:10.690, 80, 78.88 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:11.691, 80, 77.35 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:12.691, 77, 76.49 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:13.691, 75, 75.14 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:14.691, 79, 80.48 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:15.692, 79, 79.20 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:16.692, 78, 76.48 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:17.693, 78, 76.53 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:18.694, 77, 76.25 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:19.694, 80, 81.06 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:20.695, 75, 79.11 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:21.695, 78, 77.39 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:22.696, 75, 77.80 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:23.696, 82, 76.56 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:24.697, 80, 80.59 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:25.697, 77, 79.28 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:26.698, 81, 77.17 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:27.698, 80, 77.54 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:28.699, 76, 77.14 W, 2392 MHz, [N/A], 96 %, [N/A]
