timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:05:54.374, 72, 72.37 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:55.374, 74, 71.91 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:56.375, 76, 75.71 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:57.376, 71, 71.76 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:58.376, 76, 70.13 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:05:59.376, 72, 72.93 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:00.376, 75, 72.41 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:01.377, 74, 77.33 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:02.377, 73, 68.96 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:03.377, 75, 72.97 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:04.378, 74, 71.42 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:05.378, 75, 75.57 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:06.379, 75, 75.05 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:07.379, 76, 70.00 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:08.380, 75, 72.99 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:09.380, 75, 71.91 W, 2405 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:06:10.380, 78, 76.09 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:11.381, 75, 73.12 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:12.381, 72, 71.42 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:13.382, 72, 73.05 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:14.382, 77, 72.85 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:15.383, 73, 77.13 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:16.383, 75, 70.62 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:17.384, 75, 72.93 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:18.384, 75, 71.90 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:19.385, 73, 74.25 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:20.385, 76, 78.54 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:21.385, 72, 69.19 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:22.386, 76, 74.11 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:23.386, 74, 72.30 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:24.387, 75, 75.64 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:25.387, 74, 77.50 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:26.388, 74, 69.66 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:27.388, 78, 73.64 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:28.389, 73, 72.46 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:29.389, 76, 75.80 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:06:30.390, 78, 77.64 W, 2411 MHz, [N/A], 96 %, [N/A]
