timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:43:39.865, 74, 77.52 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:40.865, 76, 76.29 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:41.866, 78, 77.48 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:42.867, 77, 76.30 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:43.868, 81, 79.04 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:44.868, 77, 76.88 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:45.869, 75, 77.06 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:46.870, 77, 74.72 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:47.871, 79, 78.04 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:48.871, 78, 79.82 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:49.872, 81, 77.40 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:50.872, 74, 76.19 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:51.873, 77, 76.03 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:52.873, 79, 80.10 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:53.874, 77, 77.11 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:54.874, 75, 76.75 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:55.875, 81, 77.75 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:56.875, 81, 77.36 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:57.876, 75, 80.08 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:58.876, 80, 79.99 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:59.877, 80, 77.04 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:00.878, 80, 77.87 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:01.879, 80, 77.64 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:02.879, 77, 80.83 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:03.880, 80, 78.46 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:04.880, 79, 77.88 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:05.881, 80, 76.61 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:06.882, 76, 77.94 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:07.882, 80, 80.34 W, 2398 MHz, [N/A], 96 %, [N/A]
