timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:45:30.940, 77, 72.57 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:31.940, 74, 72.28 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:32.941, 73, 76.21 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:33.941, 76, 76.52 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:34.942, 75, 70.28 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:35.943, 77, 73.10 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:36.943, 75, 73.80 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:37.944, 78, 77.33 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:38.944, 77, 75.22 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:39.945, 78, 72.56 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:40.945, 74, 73.54 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:41.946, 78, 75.20 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:42.946, 78, 78.32 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:43.947, 75, 72.58 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:44.947, 78, 73.61 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:45.948, 73, 71.79 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:46.948, 77, 71.76 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:47.949, 75, 78.97 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:48.949, 76, 72.23 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:49.949, 77, 73.54 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:50.950, 75, 73.10 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:51.950, 78, 75.72 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:52.951, 81, 79.39 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:53.951, 77, 72.92 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:54.952, 78, 74.57 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:55.952, 80, 73.53 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:56.953, 80, 77.28 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:57.953, 77, 79.87 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:58.954, 75, 71.61 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:59.954, 76, 74.86 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:00.955, 79, 73.71 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:01.956, 82, 77.54 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:02.956, 80, 80.56 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:03.957, 78, 72.44 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:04.957, 79, 75.10 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:05.958, 79, 74.21 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:06.958, 79, 77.83 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:07.959, 79, 79.88 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:08.959, 80, 73.43 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:09.960, 80, 75.55 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:10.960, 78, 74.94 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:11.960, 81, 76.50 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:12.961, 77, 80.46 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:13.961, 81, 74.41 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:14.961, 78, 74.33 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:15.962, 77, 74.86 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:16.962, 80, 76.53 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:17.963, 82, 80.02 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:18.963, 80, 72.70 W, 2437 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:19.963, 81, 74.69 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:20.964, 81, 75.78 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:21.964, 82, 74.73 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:22.965, 78, 79.46 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:23.965, 83, 79.96 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:24.965, 80, 72.92 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:25.965, 81, 75.06 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:26.966, 83, 75.14 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:27.966, 80, 77.04 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:28.967, 80, 75.95 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:29.967, 76, 69.27 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:46:30.968, 75, 47.49 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:31.968, 75, 47.32 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 11:46:32.969, 75, 47.28 W, 2444 MHz, [N/A], 95 %, [N/A]
