timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 11:45:31.328, 77, 76.80 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:32.328, 77, 75.27 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:33.329, 77, 78.68 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:34.329, 75, 76.66 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:35.329, 78, 76.15 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:36.330, 76, 76.01 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:37.330, 79, 77.61 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:38.330, 79, 78.27 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:39.331, 73, 76.83 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:40.331, 78, 76.28 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:41.332, 75, 75.24 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:42.332, 76, 79.95 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:43.333, 75, 78.17 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:44.333, 76, 76.53 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:45.334, 77, 76.17 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:46.334, 77, 69.95 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:47.335, 75, 79.88 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:48.336, 80, 80.08 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:49.336, 81, 76.06 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:50.336, 76, 77.36 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:51.336, 76, 76.57 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:52.337, 75, 80.82 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:53.337, 76, 79.26 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:54.337, 78, 76.32 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 11:45:55.337, 78, 77.40 W, 2385 MHz, [N/A], 96 %, [N/A]
