timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:29:03.690, 75, 75.85 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:04.690, 76, 75.90 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:05.691, 75, 77.49 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:06.691, 75, 76.96 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:07.691, 72, 76.25 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:08.692, 73, 76.08 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:09.693, 76, 76.50 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:10.693, 77, 78.02 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:11.694, 77, 76.82 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:12.694, 74, 77.11 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:13.695, 79, 75.47 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:14.695, 77, 78.19 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:15.695, 72, 78.69 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:16.696, 75, 77.09 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:17.696, 74, 76.28 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:18.697, 74, 76.48 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:19.697, 79, 79.31 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:20.698, 78, 77.64 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:21.698, 79, 76.69 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:22.698, 75, 74.57 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:23.699, 79, 77.24 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:24.699, 74, 80.49 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:25.700, 74, 77.68 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:26.701, 76, 76.81 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:27.701, 80, 77.59 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:28.702, 80, 78.28 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:29.702, 75, 80.04 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:30.702, 80, 78.32 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:31.703, 78, 77.29 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:32.703, 74, 76.08 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:33.704, 80, 79.67 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:34.704, 76, 81.11 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:35.704, 79, 77.58 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:36.705, 78, 77.30 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:37.705, 74, 76.19 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:38.706, 76, 80.56 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:39.706, 78, 82.21 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:40.707, 80, 77.56 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:41.707, 82, 77.67 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:42.708, 76, 76.07 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:43.708, 81, 81.22 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:44.708, 80, 80.87 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:45.709, 79, 78.56 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:46.709, 78, 77.62 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:47.710, 81, 77.74 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:48.710, 80, 79.89 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:49.711, 80, 81.03 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:50.711, 76, 77.87 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:51.712, 82, 78.26 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:52.712, 77, 77.39 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:53.713, 81, 79.03 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:54.713, 82, 81.53 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:55.714, 78, 76.17 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:56.715, 76, 77.72 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:57.715, 76, 78.04 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:58.716, 77, 77.95 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:59.716, 77, 80.70 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:00.716, 79, 81.12 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:01.717, 78, 76.69 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:02.718, 78, 76.95 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:03.718, 78, 76.94 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:04.718, 78, 55.06 W, 2385 MHz, [N/A], 1 %, [N/A]
2026/07/19 10:30:05.719, 78, 81.49 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:06.719, 78, 78.76 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:07.720, 73, 48.97 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:08.721, 73, 46.22 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:09.721, 73, 46.40 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:10.722, 73, 46.34 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:11.722, 73, 46.05 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:12.722, 73, 46.15 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:13.723, 73, 46.25 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:14.724, 73, 46.03 W, 2431 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:15.724, 67, 23.00 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:16.725, 66, 17.22 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:17.725, 66, 17.04 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:18.726, 65, 16.91 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:19.726, 65, 16.84 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:20.726, 64, 16.71 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:21.727, 71, 28.02 W, 2424 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:22.727, 69, 48.84 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:23.728, 69, 45.46 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:24.728, 69, 45.29 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:25.729, 69, 45.33 W, 2450 MHz, [N/A], 95 %, [N/A]
