timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:29:03.383, 73, 69.38 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:04.384, 72, 69.15 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:05.384, 76, 75.11 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:06.385, 74, 75.72 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:07.385, 77, 68.51 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:08.386, 72, 70.35 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:09.386, 73, 71.50 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:10.387, 75, 76.16 W, 2431 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:11.387, 74, 71.92 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:12.388, 76, 69.69 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:13.389, 75, 70.41 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:14.390, 78, 73.57 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:15.390, 77, 77.45 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:16.391, 77, 68.75 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:17.391, 75, 70.99 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:18.392, 76, 71.18 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:19.393, 73, 75.21 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:20.393, 73, 75.65 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:21.394, 76, 69.33 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:22.394, 76, 71.46 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:23.395, 77, 72.16 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:24.395, 76, 76.60 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:25.396, 77, 74.70 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:26.396, 76, 70.38 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:27.397, 78, 71.83 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:28.397, 77, 73.27 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:29.398, 78, 77.66 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:30.398, 75, 73.38 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:31.399, 78, 71.36 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:32.400, 77, 73.25 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:33.401, 79, 74.19 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:34.401, 77, 77.56 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:35.402, 77, 73.54 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:36.402, 77, 72.11 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:37.402, 78, 72.57 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:38.403, 78, 74.32 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:39.404, 78, 78.08 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:40.404, 78, 73.40 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:41.405, 78, 72.29 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:42.405, 77, 72.98 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:43.406, 78, 74.17 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:44.407, 80, 77.83 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:45.408, 79, 74.26 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:46.408, 75, 72.01 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:47.409, 76, 73.59 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:48.409, 80, 73.74 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:49.410, 78, 78.23 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:50.411, 79, 74.82 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:51.411, 78, 72.17 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:52.412, 78, 73.18 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:53.412, 77, 74.01 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:54.413, 81, 77.78 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:55.413, 80, 75.25 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:56.414, 79, 71.60 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:57.414, 80, 73.51 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:58.415, 78, 72.51 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:29:59.415, 79, 74.96 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:00.416, 77, 78.60 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:01.417, 79, 72.56 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:02.417, 81, 73.80 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:03.418, 79, 74.07 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:04.427, 78, 52.34 W, 2411 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:05.428, 81, 79.07 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:06.428, 79, 72.56 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:07.429, 75, 57.41 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:08.429, 74, 46.27 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:09.430, 74, 46.51 W, 2444 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:30:10.430, 74, 46.33 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:11.431, 74, 46.18 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:12.432, 73, 46.19 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:13.432, 73, 46.19 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:14.433, 73, 46.01 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:15.434, 69, 31.76 W, 2405 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:16.434, 68, 17.92 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:17.435, 67, 17.72 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:18.435, 66, 17.54 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:19.436, 66, 17.41 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:20.436, 65, 17.26 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:21.436, 64, 18.32 W, 2405 MHz, [N/A], 50 %, [N/A]
2026/07/19 10:30:22.436, 69, 50.84 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:23.437, 69, 44.96 W, 2463 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:30:24.438, 69, 44.91 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:25.439, 69, 44.92 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:26.439, 69, 45.10 W, 2463 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:30:27.440, 69, 45.19 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:28.441, 69, 44.86 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:29.441, 69, 45.18 W, 2463 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:30:30.442, 69, 44.81 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:31.442, 69, 45.16 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:30:32.442, 65, 25.05 W, 2405 MHz, [N/A], 0 %, [N/A]
2026/07/19 10:30:33.443, 74, 78.26 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:34.443, 74, 79.23 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:35.444, 71, 71.60 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:36.444, 73, 70.37 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:37.444, 74, 70.63 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:38.445, 75, 72.35 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:39.445, 76, 77.50 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:40.446, 75, 76.56 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:41.446, 75, 70.05 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:42.446, 75, 70.83 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:43.446, 72, 70.19 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:44.446, 76, 76.52 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:45.447, 77, 79.60 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:46.448, 75, 72.01 W, 2314 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:47.448, 73, 70.74 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:48.448, 74, 71.43 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:49.449, 75, 73.18 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:50.449, 78, 78.13 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:51.450, 76, 78.15 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:52.450, 78, 70.07 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:53.450, 77, 71.41 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:54.451, 75, 72.15 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:55.452, 76, 73.60 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:56.453, 79, 79.30 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:57.453, 73, 75.19 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:58.454, 73, 71.07 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:30:59.455, 77, 72.44 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:00.455, 79, 70.87 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:01.455, 77, 75.61 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:02.456, 75, 79.81 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:03.456, 77, 72.69 W, 2301 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:04.456, 77, 71.66 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:05.457, 74, 72.61 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:06.457, 78, 72.52 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:07.458, 79, 78.27 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:08.459, 74, 80.11 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:09.459, 77, 72.02 W, 2301 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:10.460, 74, 72.67 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:11.460, 74, 73.05 W, 2320 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:12.461, 78, 73.00 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:13.461, 78, 78.38 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:14.462, 76, 80.92 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:15.462, 75, 71.14 W, 2301 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:16.463, 79, 73.03 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:17.463, 75, 72.60 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:18.464, 75, 73.25 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:19.465, 77, 79.20 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:20.465, 80, 80.72 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:21.466, 74, 70.51 W, 2307 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:22.466, 76, 72.88 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:23.467, 78, 72.73 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:24.467, 78, 73.37 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:25.468, 78, 78.47 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:26.469, 79, 80.22 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:27.469, 78, 71.67 W, 2314 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:28.469, 77, 73.21 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:29.469, 77, 72.61 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:30.470, 70, 65.76 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:31:31.470, 76, 79.10 W, 2379 MHz, [N/A], 96 %, [N/A]
