timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 10:43:39.490, 77, 77.61 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:40.490, 77, 69.10 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:41.491, 79, 72.10 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:42.491, 76, 72.21 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:43.491, 77, 73.96 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:44.491, 73, 74.86 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:45.492, 75, 69.95 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:46.492, 76, 72.06 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:47.492, 78, 73.09 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:48.493, 79, 77.29 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:49.493, 75, 72.91 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:50.493, 76, 72.24 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:51.493, 76, 72.65 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:52.494, 75, 74.24 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:53.494, 79, 78.80 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:54.494, 77, 69.49 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:55.495, 79, 73.09 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:56.495, 74, 71.99 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:57.495, 80, 77.13 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:58.496, 78, 77.43 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:43:59.496, 76, 70.86 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:00.496, 75, 73.07 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:01.497, 77, 72.57 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:02.497, 75, 76.64 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:03.497, 78, 78.03 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:04.497, 78, 71.08 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:05.498, 77, 73.58 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:06.498, 78, 73.44 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:07.498, 76, 77.70 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:08.499, 81, 77.07 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:09.499, 76, 71.83 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:10.499, 77, 74.06 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:11.500, 78, 73.57 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:12.500, 78, 78.15 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:13.500, 79, 77.53 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:14.501, 81, 72.42 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:15.501, 79, 74.07 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:16.501, 82, 73.51 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:17.501, 80, 77.00 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:18.502, 78, 79.04 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:19.502, 78, 72.27 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:20.502, 81, 74.37 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:21.503, 78, 73.77 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:22.503, 83, 76.92 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:23.503, 80, 78.99 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:24.504, 76, 71.84 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:25.504, 79, 74.79 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:26.504, 77, 73.17 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:27.505, 77, 75.72 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:28.505, 82, 80.37 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:29.505, 79, 73.66 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:30.506, 80, 73.97 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:31.506, 80, 73.95 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:32.506, 81, 75.14 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:33.506, 77, 79.44 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:34.507, 78, 76.70 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:35.507, 80, 72.09 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:36.507, 80, 73.74 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:37.508, 79, 72.51 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:38.508, 78, 78.34 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:39.508, 76, 68.95 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:40.508, 75, 61.77 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:41.509, 74, 47.15 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:42.509, 74, 47.11 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:43.509, 74, 47.20 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:44.510, 73, 47.11 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:45.510, 73, 47.08 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:46.511, 73, 46.98 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:47.511, 73, 46.60 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:48.512, 73, 42.75 W, 2437 MHz, [N/A], 8 %, [N/A]
2026/07/19 10:44:49.512, 72, 46.38 W, 2463 MHz, [N/A], 94 %, [N/A]
2026/07/19 10:44:50.512, 72, 46.37 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:51.512, 72, 46.65 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:52.513, 72, 46.56 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:53.513, 72, 46.56 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:54.513, 71, 46.54 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:55.514, 70, 38.60 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:56.514, 71, 51.64 W, 2463 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:44:57.514, 71, 46.01 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:58.515, 70, 45.75 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:44:59.515, 70, 46.20 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:00.515, 70, 46.02 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:01.516, 70, 46.15 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:02.516, 70, 45.92 W, 2463 MHz, [N/A], 95 %, [N/A]
2026/07/19 10:45:03.516, 65, 27.59 W, 2405 MHz, [N/A], 20 %, [N/A]
2026/07/19 10:45:04.517, 72, 70.61 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:05.518, 71, 79.11 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:06.518, 75, 73.41 W, 2320 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:07.518, 74, 70.46 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:08.518, 75, 71.39 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:09.519, 76, 71.73 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:10.519, 76, 76.07 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:11.519, 75, 78.63 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:12.520, 76, 69.88 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:13.520, 74, 71.49 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:14.520, 77, 71.88 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:15.520, 72, 73.77 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:16.521, 77, 78.90 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:17.521, 72, 73.86 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:18.521, 76, 71.04 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:19.521, 77, 72.46 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:20.522, 75, 71.47 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:21.522, 76, 76.96 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:22.522, 77, 79.77 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:23.523, 74, 69.59 W, 2307 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:24.523, 72, 72.50 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:25.523, 78, 72.94 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:26.523, 78, 72.76 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:27.524, 76, 77.63 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:28.524, 74, 77.76 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:29.525, 76, 70.02 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:30.525, 76, 72.93 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:31.525, 75, 73.91 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:32.525, 76, 73.66 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:33.526, 79, 79.81 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:34.526, 76, 76.18 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:35.526, 77, 70.93 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:36.527, 79, 74.19 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:37.527, 74, 72.65 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:38.527, 79, 76.48 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:39.528, 75, 80.36 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:40.528, 75, 74.84 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:41.528, 78, 72.74 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:42.529, 78, 74.51 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:43.529, 79, 72.38 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:44.529, 75, 77.29 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:45.529, 80, 81.53 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:46.530, 75, 74.12 W, 2307 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:47.530, 78, 74.06 W, 2333 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:48.530, 77, 74.66 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:49.531, 79, 73.64 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:50.531, 76, 76.86 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 10:45:51.532, 82, 81.82 W, 2379 MHz, [N/A], 96 %, [N/A]
