timestamp, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], memory.used [MiB]
2026/07/19 12:40:04.470, 78, 68.08 W, 2353 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:05.471, 75, 72.57 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:06.471, 77, 72.26 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:07.472, 79, 75.12 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:08.472, 76, 72.48 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:09.473, 78, 69.55 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:10.473, 78, 73.01 W, 2405 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:11.473, 75, 71.92 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:12.473, 75, 76.84 W, 2424 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:13.474, 78, 71.49 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:14.474, 80, 71.82 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:15.474, 78, 72.60 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:16.475, 78, 72.72 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:17.475, 79, 77.29 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:18.476, 77, 69.58 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:19.476, 77, 70.29 W, 2418 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:20.476, 77, 72.21 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:21.477, 80, 74.46 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:22.477, 79, 78.47 W, 2411 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:23.477, 78, 67.83 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:24.478, 77, 73.84 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:25.478, 81, 71.88 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:26.479, 81, 75.51 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:27.479, 77, 77.50 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:28.479, 75, 69.71 W, 2346 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:29.480, 80, 73.14 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:30.480, 81, 72.43 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:31.481, 80, 75.97 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:32.481, 79, 78.51 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:33.481, 80, 69.74 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:34.481, 77, 74.20 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:35.482, 77, 72.31 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:36.482, 79, 75.32 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:37.482, 82, 79.18 W, 2398 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:38.483, 80, 69.58 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:39.483, 79, 73.47 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:40.484, 81, 73.24 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:41.484, 80, 74.77 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:42.484, 81, 79.08 W, 2385 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:43.485, 77, 71.38 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:44.485, 80, 73.56 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:45.485, 77, 73.97 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:46.486, 77, 74.64 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:47.486, 81, 78.15 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:48.486, 79, 73.29 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:49.487, 81, 72.65 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:50.487, 82, 74.44 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:51.487, 79, 72.95 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:52.487, 80, 77.67 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:53.487, 81, 77.23 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:54.488, 82, 71.37 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:55.488, 77, 72.81 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:56.489, 81, 73.86 W, 2372 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:57.489, 84, 77.32 W, 2359 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:58.489, 82, 79.78 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:40:59.490, 78, 70.45 W, 2340 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:41:00.490, 78, 74.94 W, 2379 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:41:01.490, 81, 74.55 W, 2392 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:41:02.491, 80, 73.44 W, 2333 MHz, [N/A], 80 %, [N/A]
2026/07/19 12:41:03.491, 81, 74.58 W, 2327 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:41:04.491, 81, 71.59 W, 2366 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:41:05.492, 76, 47.58 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:06.492, 76, 47.86 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:07.492, 76, 47.88 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:08.493, 76, 47.74 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:09.493, 75, 47.79 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:10.493, 75, 47.62 W, 2450 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:11.494, 75, 47.72 W, 2444 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:12.494, 71, 32.69 W, 2405 MHz, [N/A], 95 %, [N/A]
2026/07/19 12:41:13.495, 75, 52.16 W, 2450 MHz, [N/A], 96 %, [N/A]
2026/07/19 12:41:14.495, 75, 47.62 W, 2450 MHz, [N/A], 95 %, [N/A]
